target_id	target_relation	target_type	rationale
ARO:3000023	DIRECT_BINDING_TARGET	PROTEIN	Topoisomerase IV subunit asserted as the aminocoumarin-sensitive target.
ARO:3000710	ATTACKED_COMPONENT	MEMBRANE	ARO describes interaction with membrane phospholipids and loss of membrane integrity.
ARO:3000716	DIRECT_BINDING_TARGET	PROTEIN	ARO asserts enzymes in mycolic-acid synthesis as targets without naming a downstream process.
ARO:3000717	DIRECT_BINDING_TARGET	PROTEIN	Signal peptidase I is asserted as the antibiotic-sensitive protein.
ARO:3000719	ATTACKED_COMPONENT	CELL_WALL_COMPONENT	Isoprenyl pyrophosphate is a cell-wall carrier intermediate rather than a protein.
ARO:3000720	ATTACKED_COMPONENT	CELL_WALL_COMPONENT	The D-Ala-D-Ala chemical group is bound as a cell-wall precursor component.
ARO:3000722	DIRECT_BINDING_TARGET	PROTEIN	Alanine racemase is asserted as the cycloserine-sensitive enzyme.
ARO:3000723	DIRECT_BINDING_TARGET	PROTEIN	D-alanine ligase is asserted as the cycloserine-sensitive enzyme.
ARO:3000724	DIRECT_BINDING_TARGET	PROTEIN	MurA is asserted as the fosfomycin-sensitive enzyme.
ARO:3000725	DIRECT_BINDING_TARGET	PROTEIN	AftA is asserted as the antibiotic-sensitive enzyme.
ARO:3000726	ATTACKED_COMPONENT	CELL_WALL_COMPONENT	The pentaglycyl bridge is a peptidoglycan component rather than a protein.
ARO:3000729	DIRECT_BINDING_TARGET	PROTEIN_COMPLEX	ARO asserts stabilization of the ribosomal complex by antibiotics.
ARO:3000730	DIRECT_BINDING_TARGET	PROTEIN	Elongation factor G is asserted as the antibiotic target.
ARO:3000731	DIRECT_BINDING_TARGET	PROTEIN	Elongation factor Tu is asserted as the antibiotic target.
ARO:3000732	DIRECT_BINDING_TARGET	PROTEIN	Isoleucyl-tRNA synthetase is asserted as the competitive target.
ARO:3000733	DIRECT_BINDING_TARGET	PROTEIN	ARO explicitly describes ligand binding to gyrase subunit A.
ARO:3000734	DIRECT_BINDING_TARGET	PROTEIN	ARO explicitly describes ligand binding to gyrase subunit B.
