source_id	name	closes_gap	use	structures	redistribution	access	priority	status	verified_on	url	rationale
chebi	ChEBI	identity	SEED	COMPLETE	ATTRIBUTION	BULK	1	ADOPTED	2026-08-29	https://www.ebi.ac.uk/chebi/	Identity authority for chemical structures, and since 2026-08-30 the source of mode_of_action as well: ChEBI asserts mechanism-shaped roles on the same compounds, and conf/sources.yaml maps 32 of them — chosen because the role names a mechanism rather than a structural class — to ModeOfActionEnum, giving covered records an initial seeded mode of action where there were none. That is a RESTATEMENT of a role ChEBI asserts, not an inference from chemistry, which is what separates it from the structural-class map tried and reverted in #47. CC BY 4.0 (LICENSE in the SDF directory, ebi.ac.uk/chebi/about), so ChEBI-derived record content is attributable, not public domain. ChEBI also ships a 3-star-only SDF bulk file that excludes ontology classes by construction; our flat-file path filters for both instead.
aro	CARD Antibiotic Resistance Ontology	resistance_mechanisms	SEED	NONE	ATTRIBUTION	BULK	1	ADOPTED	2026-08-29	https://card.mcmaster.ca/	Antibiotic molecule subtree, resistance determinants and drug targets. aro.obo/aro.owl are CC BY 4.0 — verified against the arpcard/aro LICENSE, GitHub spdx_id CC-BY-4.0, the OBO Foundry registry and CARD's own download page. Redistributable with credit. Note this is the ONTOLOGY only: card.json is under different, restrictive terms (see card-json).
pubchem	PubChem	structures	SEED	COMPLETE	CC0_OK	API	1	ADOPTED	2026-08-30	https://pubchem.ncbi.nlm.nih.gov/	Narrow structure fallback for CARD-only molecules: only CIDs CARD already cross-references are fetched. PubChem CIDs are standardized records, not depositor submissions, so a CID's InChIKey can differ from the structure supplied by a depositor. PubChem is also an aggregator whose annotations retain source-specific reuse terms; this adoption does not authorize wholesale annotation ingestion.
card-json	CARD card.json	mechanism_type	CURATE_ONLY	NONE	RESTRICTED	BULK	5	BLOCKED	2026-08-29	https://card.mcmaster.ca/download	BLOCKED on licence, not on value. CARD's terms prohibit reproduction of non-ontology materials by any commercial organization without written McMaster permission, and the academic clause requires the materials be unmodified and credited — conditions that conflict with both harmonization and CC0. The AMR Gene Family / Drug Class / Resistance Mechanism categories live here and are exactly what the mechanism layer wants, so a waiver request to McMaster is the highest-value unblocking action available. Until then the is_a+participates_in walk over the CC BY 4.0 ontology stands, typing 4530 of 4555 rows.
mibig	MIBiG	producer_organisms	SEED	PARTIAL	ATTRIBUTION	BULK	1	ADOPTED	2026-08-31	https://mibig.secondarymetabolites.org/	MIBiG 4.0.1 producer/BGC assertions are seeded from the CC BY 4.0 bulk JSON. The first release accepts only active entries with a non-placeholder expert reviewer, converts SMILES to a Standard InChIKey, and joins only one-to-one exact keys. It preserves taxon, BGC, release and record versions, quality, reviewed flag, and a MIBiG-listed reference. The published pre-write dry run found 3 matches, 17 ambiguous structures, 0 rejected eligible rows, and 23 out of scope; bioactivity labels are deliberately ignored.
fda_drugsfda	FDA Drugs@FDA	clinical_status	SEED	PARTIAL	CC0_OK	BULK	1	ADOPTED	2026-08-31	https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files	The official 2026-08-28 12-table archive now supplies 3703 product-level APPROVED assertions on 211 exact structure records. The importer requires an approved original submission, excludes tentative approvals and combination products, and preserves jurisdiction, application/product, sponsor, approval date, and marketing status. Discontinued is a marketing state, not evidence that approval was withdrawn, so it never becomes WITHDRAWN.
fda_gsrs	FDA GSRS/UNII	identity	SEED	COMPLETE	CC0_OK	BULK	1	ADOPTED	2026-08-31	https://gsrs.ncats.nih.gov/	The 2026-08-31 FDA UNII snapshot selects an exact single-ingredient UNII candidate and batched GSRS records supply chemical structures. A name or UNII never proves approval: the importer computes the GSRS Standard InChIKey and writes only one-to-one full-key corpus matches. Connectivity-only salt, stereo, or protonation matches are reported but rejected; GSRS provenance is preserved separately from Drugs@FDA status provenance.
bindingdb	BindingDB curated records	molecular_targets	SEED	COMPLETE	ATTRIBUTION	BULK	2	ADOPTED	2026-08-31	https://www.bindingdb.org/rwd/bind/chemsearch/marvin/Download.jsp	The 2026-09 literature-curated export is seeded through exact reported-and-recomputed Standard InChIKey, primary-citation, quantitative-measurement, NCBI-taxonomy, and assay-context gates. Despite its curated-only label it contains 429 ChEMBL and 260 Taylor Research Group rows; all 689 are rejected by the exact row-level Curation/DataSource marker. The accepted inventory contains 177 measurements, 95 target assertions, and 45 corpus structures. Kd alone supports DIRECT_BINDING_TARGET; Ki, IC50, and EC50 remain MEASURED_TARGET_ASSOCIATION and do not establish organism activity or mode of action.
phibase	PHI-base AMR export	resistance_mechanisms	SEED	COMPLETE	ATTRIBUTION	BULK	2	ADOPTED	2026-09-01	https://github.com/PHI-base/data/blob/master/ensembl/phibase_amr_export.csv	The pinned CC BY 4.0 AMR export contributes primary-literature gene-alteration/chemical resistance associations on exact ChEBI-grounded corpus structures. The importer requires a chemical-specific resistance PHIPO term, antimicrobial_interaction, numeric PMID, pathogen NCBI Taxonomy identifier, exact ChEBI identifier, matching chemical label, and unchanged corpus InChIKey. Upstream chemical-label mismatches, non-resistance phenotypes, missing pathogen taxonomy and out-of-scope chemicals are rejected. Associations remain mechanism_type UNKNOWN because the phenotype establishes resistance but not a biochemical route.
cryptic	CRyPTIC Consortium Dataset	activity_spectrum	SEED	NONE	ATTRIBUTION	BULK	1	EVALUATING	2026-09-01	https://zenodo.org/records/15680920	Release 3.4.0 is CC BY 4.0 and contains 660961 DST rows plus 288904 UKMYC phenotype rows. The dry run retains MIC qualifiers, methods, quality, isolate and release provenance, but the supplied drug-code table provides names rather than structures or chemical identifiers. No row may attach to an individual structure record until a versioned structure-grounded drug map is independently justified; name matching alone is explicitly insufficient.
