aro_id	name	definition	definition_refs	parent_ids	drug_class_id	drug_class_label	synonyms	xrefs	classification
ARO:0000003	astromicin	Astromicin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Astromicin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:10103173|PMID:8385262|PMID:11083623	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	Astromicina|Astromicine|Astromicinum|fortimicin A	CAS:55779-06-1|CHEBI:37923|ChEMBL:CHEMBL3084803|PubChem:5284517	classified_as_antibiotic
ARO:0000005	neomycin	Neomycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Neomycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:10103173|PMID:11083623|PMID:8385262	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	Fradiomycin|Fradiomycinum|Framycetinum|Mycifradin|Neomas|Soframycin|framycetin|neomycin B	CAS:1404-04-2|CHEBI:7507|ChEMBL:CHEMBL3989751|PubChem:8378	classified_as_antibiotic
ARO:0000006	erythromycin	Erythromycin is a macrolide antibiotic with a 14-carbon ring that has an antimicrobial spectrum similar to or slightly wider than that of penicillin, and is often used for people that have an allergy to penicillins. Erythromycin may possess bacteriocidal activity, particularly at higher concentrations by binding to the 50S subunit of the bacterial 70S rRNA complex, inhibiting peptidyl-tRNA translocation. Thus, protein synthesis and subsequently structure/function processes critical for life or replication are inhibited.	PMID:7683018|PMID:10582867|PMID:15980346	ARO:0000000	ARO:0000000	macrolide antibiotic	Abomacetin|Emgel|Eritromicina|Erymax|Erythrocin|Erythromycin A|Erythromycine|Erythromycinum|N-methylerythromycin A	CHEBI:48923|ChEMBL:CHEMBL532|PubChem:12560	classified_as_antibiotic
ARO:0000007	dibekacin	Dibekacin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Dibekacin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:11083623|PMID:8385262|PMID:10103173	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	Debecacin|Dibekacina|Dibekacine|Dibekacinum|Dideoxykanamycin B|Icacine|Kappati|Orbicin|Panamicin	CAS:34493-98-6|CHEBI:37945|ChEMBL:CHEMBL560976|PubChem:470999	classified_as_antibiotic
ARO:0000008	cefoxitin	Cefoxitin is a cephamycin antibiotic often grouped with the second generation cephalosporins. Cefoxitin is bactericidal and acts by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms. Cefoxitin's 7-alpha-methoxy group and 3' leaving group make it a poor substrate for most beta-lactamases.	PMID:3487346|PMID:15673804|PMID:11585791	ARO:3009106	ARO:0000032	cephalosporin	FOX|Mefoxitin|mefoxin	CAS:35607-66-0|CHEBI:209807|ChEMBL:CHEMBL996|PubChem:441199	classified_as_antibiotic
ARO:0000009	tunicamycin	Tunicamycin is mixture of homologous nucleoside antibiotics that block the reaction of UDP-N-acetylglucosamine and dolichyl phosphate in the first step of glycoprotein synthesis.	PMID:1624425	ARO:3000034|ARO:3000707	ARO:3000034	nucleoside antibiotic		CAS:11089-65-9|CHEBI:29699|ChEMBL:CHEMBL505513|PubChem:5354023	classified_as_antibiotic
ARO:0000011	cloxacillin	Cloxacillin is a semisynthetic, isoxazolyl penicillin derivative in the beta-lactam class of antibiotics. It interferes with peptidogylcan synthesis and is commonly used for treating penicillin-resistant Staphylococcus aureus infections.	PMID:1234495|PMID:11585791|PMID:15673804	ARO:3009125	ARO:3000008	penicillin beta-lactam	Chloroxacillin|Clossacillina|Cloxacilina|Cloxacilline|Cloxacillinum|Cloxapen|Methocillin S|Orbenin|Syntarpen|Tegopen	CAS:61-72-3|CHEBI:49566|ChEMBL:CHEMBL891|PubChem:6098	classified_as_antibiotic
ARO:0000012	streptothricin	Streptothricins are a group of N-glycoside antibiotics that include a carbamoylated D-glucosamine to which are attached a series of L-beta-lysine residues at position 2 and a streptolidine at position 1. Streptothricins vary by the number of beta-lysine residues (from 1 (nourseothricin) to 7) and target protein synthesis in bacteria and eukaryotes.	PMID:10103173|PMID:8385262|PMID:11083623	ARO:3000034	ARO:3000034	nucleoside antibiotic	nourseothricin|racemomycin|streptothricin F|yazumycin	CAS:3808-42-2|CHEBI:60821|ChEMBL:CHEMBL1801945|PubChem:475825	classified_as_antibiotic
ARO:0000013	amikacin	Amikacin is an aminoglycoside antibiotic that works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:10103173|PMID:11083623|PMID:8385262	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	AMK|Amicacin|Amikacina|Amikacinum|Amikavet|Arikace|Kaminax|Lukadin|Mikavir|amikacine|mikacin	CAS:37517-28-5|CHEBI:2637|ChEMBL:CHEMBL177|PubChem:37768	classified_as_antibiotic
ARO:0000014	gentamicin C	Gentamicin C is a mixture of gentamicin C1, gentamicin C1a, and gentamicin C2 (these differ in substituents at position C6'). Gentamicin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:8385262|PMID:11083623|PMID:10103173	ARO:3000707|ARO:3007382	ARO:0000016	aminoglycoside antibiotic	Cidomycin|Garamycin|Gentacycol|Gentamicins|Gentamycinum|Gentavet|Gentocin|Refobacin|Uromycine	CAS:11097-82-8|CHEBI:75616|ChEMBL:CHEMBL384124|PubChem:3084091	classified_as_antibiotic
ARO:0000015	methicillin	Derived from penicillin to combat penicillin-resistance, methicillin is insensitive to beta-lactamases (also known as penicillinases) secreted by many penicillin-resistant bacteria. Methicillin is bactericidal, and acts by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.	PMID:11585791|PMID:15673804|PMID:3889939	ARO:3009125	ARO:3000008	penicillin beta-lactam	Dimocillin|Metacillin|Methicillinum|Methycillin|Meticilina|Meticilline|Meticillinum|Staphcillin|meticillin	CAS:61-32-5|CHEBI:6827|ChEMBL:CHEMBL575|PubChem:6087	classified_as_antibiotic
ARO:0000018	viomycin	Viomycin sulfate (Viocin) is an polypeptide antibiotic used in the treatment of tuberculosis. It is produced by the actinomycete Streptomyces puniceus and binds to the bacterial ribosome, inhibiting prokaryotic protein synthesis and certain forms of RNA splicing.	PMID:211438	ARO:3009657	ARO:3009657	nonribosomal peptide antibiotics	Celiomycin|Florimycin|Tuberactinomycin B|Viocin	PubChem:135398671	classified_as_antibiotic
ARO:0000021	ribostamycin	Ribostamycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Ribostamycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:8385262|PMID:11083623|PMID:10103173	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	dekamycin IV|hetangmycin|ribastamin|vistamycin|xylostatin	CAS:25546-65-0|CHEBI:45257|ChEMBL:CHEMBL221572|PubChem:33042	classified_as_antibiotic
ARO:0000022	polymyxin antibiotic	Polymyxins are cationic detergent antibiotics, with a general structure of a cyclic peptide with a long hydrophobic tail. They disrupt the structure of the bacterial cell membrane by interacting with its phospholipids. Polymyxins have a bactericidal effect on Gram-negative bacilli, especially on Pseudomonas and coliform organisms.	PMID:11706007	ARO:3000035	ARO:3009657	nonribosomal peptide antibiotics			
ARO:0000023	enoxacin	Enoxacin belongs to a group called fluoroquinolones. Its mode of action depends upon blocking bacterial DNA replication by binding itself to DNA gyrase and causing double-stranded breaks in the bacterial chromosome.	PMID:15914491	ARO:0000001	ARO:0000001	fluoroquinolone antibiotic	Enroxil|Penetrex	CAS:74011-58-8|CHEBI:157175|ChEMBL:CHEMBL826|PubChem:3229	classified_as_antibiotic
ARO:0000024	butirosin	Butirosin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Butirosin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:10103173|PMID:11083623|PMID:8385262	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	ambutyrosin sulfate|butirosin sulphate	CAS:12772-35-9|CHEBI:65109|ChEMBL:CHEMBL3549904|PubChem:72393	classified_as_antibiotic
ARO:0000025	fosfomycin	Fosfomycin (also known as phosphomycin and phosphonomycin) is a broad-spectrum antibiotic produced by certain Streptomyces species. It is effective on gram positive and negative bacteria as it targets the cell wall, an essential feature shared by both bacteria. Its specific target is MurA (MurZ in E.coli), which attaches phosphoenolpyruvate (PEP) to UDP-N-acetylglucosamine, a step of commitment to cell wall synthesis. In the active site of MurA, the active cysteine molecule is alkylated which stops the catalytic reaction.	PMID:18701452|PMID:5809587|PMID:8994972|PMID:17567049|PMID:8075064	ARO:3007149	ARO:3007149	phosphonic acid antibiotic	(1R,2S)-1,2-epoxy-propylphosphonic acid|phosphomycin|phosphonomycin	CAS:23155-02-4|CHEBI:28915|ChEMBL:CHEMBL1757|PubChem:73491	classified_as_antibiotic
ARO:0000027	roxithromycin	Roxithromycin is a semi-synthetic, 14-carbon ring macrolide antibiotic derived from erythromycin. It is used to treat respiratory tract, urinary and soft tissue infections. Roxithromycin may possess bacteriocidal activity, particularly at higher concentrations by binding to the 50S subunit of the bacterial 70S rRNA complex, protein synthesis and subsequently structure/function processes critical for life or replication are inhibited.	PMID:15980346|PMID:10582867	ARO:0000000	ARO:0000000	macrolide antibiotic		CHEBI:48844|ChEMBL:CHEMBL1214185|PubChem:6915744	classified_as_antibiotic
ARO:0000028	vancomycin	Vancomycin is a glycopeptide antibiotic used in the prophylaxis and treatment of infections caused by Gram-positive bacteria. Vancomycin inhibits the synthesis of peptidoglycan, the major component of the cell wall of gram-positive bacteria. Its mechanism of action is unusual in that it acts by binding precursors of peptidoglycan, rather than by interacting with an enzyme.	PMID:16323116	ARO:3000081	ARO:3000081	glycopeptide antibiotic	Vancocin	CHEBI:28001|ChEMBL:CHEMBL262777|PubChem:14969	classified_as_antibiotic
ARO:0000029	teicoplanin	Teicoplanin is a glycopeptide antibiotic used in the prophylaxis and treatment of serious infections caused by Gram-positive bacteria. Teicoplanin has a unique acyl-aliphatic chain, and binds to cell wall precursors to inhibit transglycosylation and transpeptidation.	PMID:16323116|PMID:6240963|PMID:11131961|PMID:6235205|PMID:6239854	ARO:3000081	ARO:3000081	glycopeptide antibiotic	targocid|teichomycin	CAS:61036-62-2|CHEBI:29687|ChEMBL:CHEMBL2367892|PubChem:16129712	classified_as_antibiotic
ARO:0000030	tigecycline	Tigecycline is an glycylcycline antibiotic. It works by inhibiting action of the prokaryotic 30S ribosome.	PMID:11381101|PMID:19862477	ARO:0000042	ARO:0000042	glycylcycline	Tygacil	CAS:220620-09-7|CHEBI:149836|ChEMBL:CHEMBL376140|PubChem:54686904	classified_as_antibiotic
ARO:0000034	streptogramin A antibiotic	Streptogramin A antibiotics are cyclic polyketide peptide hybrids that bind to the ribosomal peptidyl transfer centre. Structural variation arises from substituting a proline for its desaturated derivative and by its substitution for Ala or Cys. Used alone, streptogramin A antibiotics are bacteriostatic, but is bactericidal when used with streptogramin B antibiotics.	PMID:12860128|PMID:15700955|PMID:17015629|PMID:12102603	ARO:0000026	ARO:0000026	streptogramin antibiotic			classified_as_drug_subclass
ARO:0000035	sisomicin	Sisomicin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Sisomicin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:10103173|PMID:11083623|PMID:8385262	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	antibiotic 6640|dehydrogentamicin|rickamicin|sisomycin|sissomicin	CAS:32385-11-8|CHEBI:9169|ChEMBL:CHEMBL221886|PubChem:36119	classified_as_antibiotic
ARO:0000036	ciprofloxacin	Ciprofloxacin is a bacteriocidal fluoroquinolone. It blocks bacterial DNA replication by binding to the toposiomerase II or IV-DNA complex (or cleavable complex), thereby causing double-stranded breaks in the bacterial chromosome.	PMID:15914491|PMID:15700957	ARO:0000001	ARO:0000001	fluoroquinolone antibiotic	CIP|Cipro|Ciprobay|Ciproxan	CAS:85721-33-1|CHEBI:100241|ChEMBL:CHEMBL8|PubChem:2764	classified_as_antibiotic
ARO:0000037	apramycin	Apramycin is an aminoglycoside antibiotic used to treat different types of bacterial infections in animals. Apramycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:10103173|PMID:8385262|PMID:11083623	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	ambylan|apralan|nebramycin II	CAS:37321-09-8|CHEBI:2790|ChEMBL:CHEMBL1909452|PubChem:3081545	classified_as_antibiotic
ARO:0000038	netilmicin	Netilmicin is a member of the aminoglycoside family of antibiotics. These antibiotics have the ability to kill a wide variety of bacteria by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth. Netilmicin is not absorbed from the gut and is therefore only given by injection or infusion. It is only used in the treatment of serious infections particularly those resistant to gentamicin.	PMID:10103173|PMID:8385262|PMID:11083623	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	1-N-aethylsisomicin|netilyn|netromycin|vectacin	CAS:56391-56-1|CHEBI:7528|ChEMBL:CHEMBL1572|PubChem:441306	classified_as_antibiotic
ARO:0000039	spectinomycin	Spectinomycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Spectinomycin works by binding to the bacterial 30S ribosomal subunit inhibiting translation.	PMID:11083623|PMID:8385262|PMID:10103173	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	Actinospectacin|Spectam|Togamycin|Trobicin	CAS:1695-77-8|CHEBI:9215|ChEMBL:CHEMBL1167|PubChem:15541	classified_as_antibiotic
ARO:0000040	streptomycin	Streptomycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Streptomycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:10103173|PMID:11083623|PMID:8385262	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	streptomycin A sulfate|streptomycin A|streptomycin sulfate|streptomycin sulphate	CAS:57-92-1|CHEBI:17076|ChEMBL:CHEMBL372795|PubChem:19649	classified_as_antibiotic
ARO:0000041	bacitracin	Bacitracin is a mixture of related cyclic polypeptides produced by organisms of the licheniformis group of Bacillus subtilis var Tracy. Bacitracin interferes with the dephosphorylation of the C55-isoprenyl pyrophosphate, a molecule which carries the building blocks of the peptidoglycan bacterial cell wall outside of the inner membrane.	PMID:8389741	ARO:3000707|ARO:3009657	ARO:3009657	nonribosomal peptide antibiotics	Altracin|Ayfivin|BACiiM|Baciguent|Baciquent|Citracin|Fortracin|Penitracin|Topitracin|Zutracin	PubChem:57402735	classified_as_antibiotic
ARO:0000043	carbenicillin	Carbenicillin is a semi-synthetic antibiotic belonging to the carboxypenicillin subgroup of the penicillins. It has gram-negative coverage which includes Pseudomonas aeruginosa but limited gram-positive coverage. The carboxypenicillins are susceptible to degradation by beta-lactamase enzymes. Carbenicillin antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.	PMID:11585791|PMID:15673804|PMID:4248289	ARO:3009123	ARO:3000008	penicillin beta-lactam	Anabactyl|CAR|Carbecin|Carbenicilina|Carbenicillina|Carbenicilline|Carbenicillinum|Geopen|Microcillin|Pyopen	CAS:4697-36-3|CHEBI:3393|ChEMBL:CHEMBL1214|PubChem:20824	classified_as_antibiotic
ARO:0000045	acriflavine	Acriflavine is a topical antiseptic. It has the form of an orange or brown powder. It may be harmful in the eyes or if inhaled. Acriflavine is also used as treatment for external fungal infections of aquarium fish.	PMID:11566977	ARO:3005386	ARO:3005386	disinfecting agents and antiseptics	Acriflavin|Assiflavine|Bialflavina|Bioacridin|Bovoflavin|Buroflavin|Choliflavin|Euflavine|Pantonsiletten|Xanthacridinum	ChEMBL:CHEMBL5219994|PubChem:443101	classified_as_antibiotic
ARO:0000046	lincomycin	Lincomycin is a lincosamide antibiotic that comes from the actinomyces Streptomyces lincolnensis. It binds to the 23s portion of the 50S subunit of bacterial ribosomes and inhibit early elongation of peptide chain by inhibiting transpeptidase reaction.	PMID:15135500|PMID:10582867	ARO:0000017	ARO:0000017	lincosamide antibiotic	Cillimycin|Epilincomycin|Jiemycin|Lincocin|Lincolcina|Lincolnensin|Lincomicina|Lincomycin A|Lincomycine|Lincomycinum	CAS:154-21-2|CHEBI:6472|ChEMBL:CHEMBL1447|PubChem:3000540	classified_as_antibiotic
ARO:0000047	puromycin	Puromycin is an aminonucleoside antibiotic, derived from Streptomyces alboniger, that causes premature chain termination during ribosomal protein translation.	PMID:7608059	ARO:3000080	ARO:3000034	nucleoside antibiotic	Puromycin dihydrochloride|Puromycin hydrochloride|Stylomycin dihydrochloride	CAS:53-79-2|CHEBI:17939|ChEMBL:CHEMBL469912|PubChem:439530	classified_as_antibiotic
ARO:0000049	kanamycin A	Kanamycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Kanamycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.	PMID:10103173|PMID:8385262|PMID:11083623	ARO:0000016	ARO:0000016	aminoglycoside antibiotic	Aminodeoxykanamycin|Aspidium|Kanamicina|Kanamycin sulfate|Kanamycine|Kanamycinum|Kantrex|kanamycin	CAS:59-01-8|CHEBI:17630|ChEMBL:CHEMBL223520|PubChem:6032	classified_as_antibiotic
ARO:0000050	streptogramin B antibiotic	Streptogramin B antibiotics are are cyclic hepta- or hexa-depsipeptides. Type B streptogramins block the peptide exit tunnel of the 50S bacterial ribosome. The general composition of group B streptogramins is 3-hydroxypicolinic acid-L-Thr-D-aminobutyric acid (or D-Ala)-L-Pro-L-Phe (or 4-N-,N-(dimethylamino)-L-Phe)-X-L-phenylglycine. Used alone, streptogramin B antibiotics are bacteriostatic, but is bactericidal when used with streptogramin A antibiotics.	PMID:15700955|PMID:9746015|PMID:10582867	ARO:0000026	ARO:0000026	streptogramin antibiotic			classified_as_drug_subclass
