source_version	source_record_id	source_name	mapping_status	identifier	standard_inchi_key	mapping_basis	notes
3.4.0	AMC	AMOXICILIN-CLAVULANATE	COMBINATION			none	Combination of amoxicillin plus clavulanate; one ActivityObservation cannot attach to one chemical structure.
3.4.0	AMI	AMIKACIN	EXACT	CHEBI:2637	LKCWBDHBTVXHDL-RMDFUYIESA-N	parent_base	CRyPTIC names the active amikacin parent.
3.4.0	AMX	AMOXICILIN	EXACT	CHEBI:2676	LSQZJLSUYDQPKJ-NJBDSQKTSA-N	parent_base	CRyPTIC spelling for amoxicillin; maps to the active amoxicillin parent.
3.4.0	AZM	AZITHROMYCIN	EXACT	CHEBI:2955	MQTOSJVFKKJCRP-BICOPXKESA-N	parent_base	CRyPTIC names the active azithromycin parent.
3.4.0	BDQ	BEDAQUILINE	EXACT	CHEBI:72292	QUIJNHUBAXPXFS-XLJNKUFUSA-N	parent_base	CRyPTIC names the active bedaquiline parent rather than the fumarate salt.
3.4.0	CAP	CAPREOMYCIN	MIXTURE			none	Capreomycin is a capreomycin-component mixture in ChEBI and is not one grounded structure in this corpus.
3.4.0	CFZ	CLOFAZIMINE	EXACT	CHEBI:3749	WDQPAMHFFCXSNU-UHFFFAOYSA-N	parent_base	CRyPTIC names clofazimine exactly.
3.4.0	CIP	CIPROFLOXACIN	EXACT	CHEBI:100241	MYSWGUAQZAJSOK-UHFFFAOYSA-N	parent_base	CRyPTIC names the active ciprofloxacin parent.
3.4.0	CLR	CLARITHROMYCIN	EXACT	CHEBI:3732	AGOYDEPGAOXOCK-KCBOHYOISA-N	parent_base	CRyPTIC names clarithromycin exactly.
3.4.0	CYC	CYCLOSERINE	AMBIGUOUS_STEREOCHEMISTRY			none	CRyPTIC also carries DCS for D-cycloserine; do not collapse the ambiguous CYC code onto one enantiomer.
3.4.0	DCS	D-CYCLOSERINE	EXACT	CHEBI:40009	DYDCUQKUCUHJBH-UWTATZPHSA-N	exact_stereochemistry	CRyPTIC explicitly names the D-cycloserine enantiomer.
3.4.0	DLM	DELAMANID	EXACT	CHEBI:134742	XDAOLTSRNUSPPH-XMMPIXPASA-N	parent_base	CRyPTIC names delamanid exactly.
3.4.0	EMB	ETHAMBUTOL	EXACT	CHEBI:4877	AEUTYOVWOVBAKS-UWVGGRQHSA-N	parent_base	CRyPTIC names the active ethambutol parent rather than the dihydrochloride salt.
3.4.0	ETH	ETHIONAMIDE	EXACT	CHEBI:4885	AEOCXXJPGCBFJA-UHFFFAOYSA-N	parent_base	CRyPTIC names ethionamide exactly.
3.4.0	ETP	ERTAPENEM	EXACT	CHEBI:404903	JUZNIMUFDBIJCM-ANEDZVCMSA-N	parent_base	CRyPTIC names ertapenem exactly.
3.4.0	FQS	FLUOROQUINOLONE	DRUG_CLASS			none	Fluoroquinolone is a drug class, not an individual structure.
3.4.0	GEN	GENTAMICIN	MIXTURE			none	Gentamicin is administered as a mixture of aminoglycoside components; the CRyPTIC code does not name one component.
3.4.0	GFX	GATIFLOXACIN	EXACT	CHEBI:5280	XUBOMFCQGDBHNK-UHFFFAOYSA-N	parent_base	CRyPTIC names racemic gatifloxacin rather than an individual enantiomer.
3.4.0	IMI	IMIPENEM	EXACT	CHEBI:471744	ZSKVGTPCRGIANV-ZXFLCMHBSA-N	parent_base	CRyPTIC names the active imipenem parent rather than imipenem hydrate.
3.4.0	INH	ISONIAZID	EXACT	CHEBI:6030	QRXWMOHMRWLFEY-UHFFFAOYSA-N	exact_synonym	CRyPTIC uses isoniazid; the ChEBI record label is isoniazide.
3.4.0	KAN	KANAMYCIN	MIXTURE			none	Kanamycin is a kanamycin-component complex in ChEBI; the CRyPTIC code does not explicitly name kanamycin A.
3.4.0	LEV	LEVOFLOXACIN	EXACT	CHEBI:63598	GSDSWSVVBLHKDQ-JTQLQIEISA-N	exact_stereochemistry	CRyPTIC names the S-ofloxacin stereoisomer levofloxacin.
3.4.0	LZD	LINEZOLID	EXACT	CHEBI:63607	TYZROVQLWOKYKF-ZDUSSCGKSA-N	parent_base	CRyPTIC names linezolid exactly.
3.4.0	MEF	MEFLOQUINE	AMBIGUOUS_STEREOCHEMISTRY			none	The corpus has only resolved mefloquine enantiomers, while CRyPTIC does not name one stereoisomer.
3.4.0	MPM	MEROPENEM	EXACT	CHEBI:43968	DMJNNHOOLUXYBV-PQTSNVLCSA-N	parent_base	CRyPTIC names the active meropenem parent rather than meropenem trihydrate.
3.4.0	MXF	MOXIFLOXACIN	EXACT	CHEBI:63611	FABPRXSRWADJSP-MEDUHNTESA-N	parent_base	CRyPTIC names moxifloxacin exactly.
3.4.0	OFX	OFLOXACIN	EXACT	antibioticmech:aro-2eea3233f3	GSDSWSVVBLHKDQ-UHFFFAOYSA-N	racemate	CRyPTIC names racemic ofloxacin, not levofloxacin or dextrofloxacin.
3.4.0	PAN	PRETOMANID	EXACT	antibioticmech:aro-b4f5ca6a06	ZLHZLMOSPGACSZ-NSHDSACASA-N	parent_base	CRyPTIC names pretomanid exactly.
3.4.0	PAS	PAS	EXACT	CHEBI:27565	WUBBRNOQWQTFEX-UHFFFAOYSA-N	exact_synonym	PAS is a ChEBI synonym for 4-aminosalicylic acid.
3.4.0	PTO	PROTHIONAMIDE	EXACT	CHEBI:32066	VRDIULHPQTYCLN-UHFFFAOYSA-N	parent_base	CRyPTIC names prothionamide exactly.
3.4.0	PZA	PYRAZINAMIDE	EXACT	CHEBI:45285	IPEHBUMCGVEMRF-UHFFFAOYSA-N	exact_synonym	Pyrazinamide is a ChEBI synonym for pyrazinecarboxamide.
3.4.0	RFB	RIFABUTIN	EXACT	CHEBI:45367	ATEBXHFBFRCZMA-VXTBVIBXSA-N	parent_base	CRyPTIC names rifabutin exactly.
3.4.0	RIF	RIFAMPICIN	EXACT	CHEBI:28077	JQXXHWHPUNPDRT-WLSIYKJHSA-N	parent_base	CRyPTIC names rifampicin exactly.
3.4.0	STM	STREPTOMYCIN	EXACT	CHEBI:17076	UCSJYZPVAKXKNQ-HZYVHMACSA-N	parent_base	CRyPTIC names streptomycin exactly.
3.4.0	STX	SITAFLOXACIN	EXACT	CHEBI:4304	PNUZDKCDAWUEGK-CYZMBNFOSA-N	parent_base	CRyPTIC names sitafloxacin exactly.
3.4.0	SXT	COTRIMOXAZOLE	COMBINATION			none	Co-trimoxazole is trimethoprim plus sulfamethoxazole; one ActivityObservation cannot attach to one chemical structure.
3.4.0	SZD	SUTEZOLID	MISSING_CORPUS_RECORD			none	No sutezolid structure record exists in the corpus.
3.4.0	TRD	TERIZIDONE	MISSING_CORPUS_RECORD			none	No terizidone structure record exists in the corpus.
3.4.0	TZE	THIOACETAZONE	EXACT	CHEBI:134958	SRVJKTDHMYAMHA-UHFFFAOYSA-N	exact_synonym	CRyPTIC uses an alternate spelling for thioacetazone/thiacetazone.
